,fluxes,equ,ec-code,kcat_MW,E
EX_g3pg_e,0.0,g3pg_e --> ,,,
EX_g3pi_e,0.0,g3pi_e --> ,,,
EX_g3ps_e,0.0,g3ps_e --> ,,,
EX_gal_bD_e,0.0,gal_bD_e --> ,,,
EX_gal_e,0.0,gal_e --> ,,,
EX_galct__D_e,0.0,galct__D_e --> ,,,
EX_galctn__D_e,0.0,galctn__D_e --> ,,,
EX_galctn__L_e,0.0,galctn__L_e --> ,,,
EX_galctr__D_e,0.0,galctr__D_e --> ,,,
EX_galt_e,0.0,galt_e --> ,,,
EX_galur_e,0.0,galur_e --> ,,,
EX_gam_e,0.0,gam_e --> ,,,
EX_gbbtn_e,0.0,gbbtn_e --> ,,,
EX_glc__D_e,0.0,glc__D_e <-- ,,,
EX_glc__aD_e,0.0,glc__aD_e --> ,,,
EX_glcn__D_e,0.0,glcn__D_e --> ,,,
EX_glcn_e,0.0,glcn_e --> ,,,
EX_glcr_e,0.0,glcr_e --> ,,,
EX_glcur_e,0.0,glcur_e --> ,,,
EX_gln__L_e,0.0,gln__L_e --> ,,,
EX_glu__L_e,0.0,glu__L_e --> ,,,
EX_glucan4_e,0.0,glucan4_e --> ,,,
EX_glucan6_e,0.0,glucan6_e --> ,,,
EX_glutar_e,0.0,glutar_e --> ,,,
EX_gly_asn__L_e,0.0,gly_asn__L_e --> ,,,
EX_gly_asp__L_e,0.0,gly_asp__L_e --> ,,,
EX_gly_cys_e,0.0,gly_cys_e --> ,,,
EX_gly_e,0.0,gly_e --> ,,,
EX_gly_gln_e,0.0,gly_gln_e --> ,,,
EX_gly_glu__L_e,0.0,gly_glu__L_e --> ,,,
EX_gly_leu_e,0.0,gly_leu_e --> ,,,
EX_gly_met_e,0.0,gly_met_e --> ,,,
EX_gly_phe_e,0.0,gly_phe_e --> ,,,
EX_gly_pro__L_e,0.0,gly_pro__L_e --> ,,,
EX_gly_tyr_e,0.0,gly_tyr_e --> ,,,
EX_glyald_e,285.68241119858897,glyald_e --> ,,,
EX_glyb_e,0.0,glyb_e --> ,,,
EX_glyc2p_e,0.0,glyc2p_e --> ,,,
EX_glyc3p_e,0.0,glyc3p_e --> ,,,
EX_glyc_e,0.0,glyc_e --> ,,,
EX_glyclt_e,0.0,glyclt_e --> ,,,
EX_glycol_e,0.0,glycol_e --> ,,,
EX_glygln_e,0.0,glygln_e --> ,,,
EX_glyglu_e,0.0,glyglu_e --> ,,,
EX_glygly_e,0.0,glygly_e --> ,,,
EX_glyglygln_e,0.0,glyglygln_e --> ,,,
EX_glymet_e,0.0,glymet_e --> ,,,
EX_glyphe_e,0.0,glyphe_e --> ,,,
EX_glyser_e,0.0,glyser_e --> ,,,
EX_gmp_e,0.0,gmp_e --> ,,,
EX_gsn_e,0.0,gsn_e --> ,,,
EX_gthrd_e,0.0,gthrd_e --> ,,,
EX_gua_e,0.0,gua_e --> ,,,
EX_h2_e,0.0,h2_e --> ,,,
EX_h2o_e,0.0,h2o_e --> ,,,
EX_h2s_e,0.0,h2s_e --> ,,,
EX_h_e,1000.0,h_e --> ,,,
EX_hco3_e,0.0,hco3_e --> ,,,
EX_hexs_e,0.0,hexs_e --> ,,,
EX_hia_e,0.0,hia_e --> ,,,
EX_his__L_e,0.0,his__L_e --> ,,,
EX_hisgly_e,0.0,hisgly_e --> ,,,
EX_hishis_e,0.0,hishis_e --> ,,,
EX_hom__L_e,0.0,hom__L_e --> ,,,
EX_hpta_e,0.0,hpta_e --> ,,,
EX_hqn_e,0.0,hqn_e --> ,,,
EX_hxa_e,0.0,hxa_e --> ,,,
EX_hxan_e,0.0,hxan_e --> ,,,
EX_ibt_e,0.0,ibt_e --> ,,,
EX_ibtol_e,0.0,ibtol_e --> ,,,
EX_icit_e,0.0,icit_e --> ,,,
EX_idon__L_e,0.0,idon__L_e --> ,,,
EX_ile__L_e,0.0,ile__L_e --> ,,,
EX_ind3ac_e,0.0,ind3ac_e --> ,,,
EX_indole_e,0.0,indole_e --> ,,,
EX_inost_e,0.0,inost_e --> ,,,
EX_ins_e,0.0,ins_e --> ,,,
EX_isetac_e,0.0,isetac_e --> ,,,
EX_isocap_e,0.0,isocap_e --> ,,,
EX_istfrnA_e,0.0,istfrnA_e --> ,,,
EX_istfrnB_e,0.0,istfrnB_e --> ,,,
EX_istnt_e,0.0,istnt_e --> ,,,
EX_k_e,0.0,k_e --> ,,,
EX_lac__L_e,79.94108070031562,lac__L_e --> ,,,
EX_lcts_e,0.0,lcts_e --> ,,,
EX_leu__L_e,0.0,leu__L_e --> ,,,
EX_leuleu_e,0.0,leuleu_e --> ,,,
EX_lipoate_e,0.0,lipoate_e --> ,,,
EX_lmn2_e,0.0,lmn2_e --> ,,,
EX_lnlc_e,0.0,lnlc_e --> ,,,
EX_lys__D_e,0.0,lys__D_e --> ,,,
EX_lys__L_e,0.0,lys__L_e --> ,,,
EX_lysglugly_e,0.0,lysglugly_e --> ,,,
EX_lyx__L_e,0.0,lyx__L_e --> ,,,
EX_m_xyl_e,0.0,m_xyl_e --> ,,,
EX_madg_e,0.0,madg_e --> ,,,
EX_mal__D_e,0.0,mal__D_e --> ,,,
EX_mal__L_e,0.0,mal__L_e --> ,,,
EX_malt_e,0.0,malt_e --> ,,,
EX_malthp_e,0.0,malthp_e --> ,,,
EX_malthx_e,0.0,malthx_e --> ,,,
EX_malttr_e,0.0,malttr_e --> ,,,
EX_maltttr_e,0.0,maltttr_e --> ,,,
EX_man_e,0.0,man_e --> ,,,
EX_manb_e,0.0,manb_e --> ,,,
EX_manglyc_e,0.0,manglyc_e --> ,,,
EX_mantr_e,0.0,mantr_e --> ,,,
EX_mbdg_e,0.0,mbdg_e --> ,,,
EX_melib_e,0.0,melib_e --> ,,,
EX_meoh_e,0.0,meoh_e --> ,,,
EX_met_L_ala__L_e,0.0,met_L_ala__L_e --> ,,,
EX_met__D_e,0.0,met__D_e --> ,,,
EX_met__L_e,0.0,met__L_e --> ,,,
EX_metox__R_e,0.0,metox__R_e --> ,,,
EX_metox_e,0.0,metox_e --> ,,,
EX_metsox_R__L_e,0.0,metsox_R__L_e --> ,,,
EX_metsox_S__L_e,0.0,metsox_S__L_e --> ,,,
EX_mg2_e,0.0,mg2_e --> ,,,
EX_mmet_e,0.0,mmet_e --> ,,,
EX_mn2_e,0.0,mn2_e --> ,,,
EX_mnl1p_e,0.0,mnl1p_e --> ,,,
EX_mnl_e,0.0,mnl_e --> ,,,
EX_mobd_e,0.0,mobd_e --> ,,,
